"";"Data";"MunicipioChave";"Tipo";"Confirmados";"Mortes";"UltimaData";"PopulacaoEstimadaEm2019";"ConfirmadosACada100K";"PorcentagemMorte";"InformadoMunicipio";"_TipoFato";"Cluster"
"1148";2020-04-20;"4125555-PR";"city";1;0;"True";"2160";"46.2963";0;"S";"ATUAL";2
"1149";2020-04-20;"4126256-PR";"city";2;0;"True";"96688";"2.06851";0;"S";"ATUAL";2
"1150";2020-04-20;"4126405-PR";"city";1;0;"True";"5284";"18.92506";0;"S";"ATUAL";2
"1151";2020-04-20;"4126702-PR";"city";1;0;"True";"5120";"19.53125";0;"S";"ATUAL";2
"1152";2020-04-20;"4127106-PR";"city";7;0;"True";"78974";"8.86368";0;"S";"ATUAL";2
"1153";2020-04-20;"4127205-PR";"city";2;0;"True";"17094";"11.70001";0;"S";"ATUAL";2
"1154";2020-04-20;"4127304-PR";"city";1;0;"True";"16789";"5.95628";0;"S";"ATUAL";2
"1155";2020-04-20;"4127700-PR";"city";1;0;"True";"140635";"0.71106";0;"S";"ATUAL";2
"1156";2020-04-20;"4127957-PR";"city";1;0;"True";"8124";"12.30921";0;"S";"ATUAL";2
"1157";2020-04-20;"4128104-PR";"city";4;0;"True";"111557";"3.58561";0;"S";"ATUAL";2
"1158";2020-04-20;"4128203-PR";"city";6;0;"True";"57517";"10.4317";0;"S";"ATUAL";2
"1159";2020-04-20;"4128609-PR";"city";2;0;"True";"7257";"27.5596";0;"S";"ATUAL";2
"1160";2020-04-20;"4128708-PR";"city";1;0;"True";"6838";"14.62416";0;"S";"ATUAL";2
"1161";2020-04-20;"4200606-SC";"city";1;0;"True";"6469";"15.45834";0;"S";"ATUAL";2
"1162";2020-04-20;"4201000-SC";"city";1;0;"True";"7133";"14.01935";0;"S";"ATUAL";2
"1163";2020-04-20;"4201208-SC";"city";11;3;"True";"8513";"129.21414";0,2727;"S";"ATUAL";2
"1164";2020-04-20;"4201273-SC";"city";4;0;"True";"4267";"93.74268";0;"S";"ATUAL";2
"1165";2020-04-20;"4201406-SC";"city";4;0;"True";"68228";"5.8627";0;"S";"ATUAL";2
"1166";2020-04-20;"4201505-SC";"city";1;0;"True";"8674";"11.52871";0;"S";"ATUAL";2
"1167";2020-04-20;"4201901-SC";"city";1;0;"True";"5679";"17.60873";0;"S";"ATUAL";2
"1168";2020-04-20;"4201950-SC";"city";2;0;"True";"13071";"15.30105";0;"S";"ATUAL";2
"1169";2020-04-20;"4202008-SC";"city";59;1;"True";"142295";"41.46316";0,0169;"S";"ATUAL";3
"1170";2020-04-20;"4202073-SC";"city";2;1;"True";"10979";"18.2166";0,5;"S";"ATUAL";2
"1171";2020-04-20;"4202107-SC";"city";1;0;"True";"29168";"3.42841";0;"S";"ATUAL";2
"1172";2020-04-20;"4202305-SC";"city";2;0;"True";"68481";"2.92052";0;"S";"ATUAL";2
"1173";2020-04-20;"4202404-SC";"city";79;0;"True";"357199";"22.11652";0;"S";"ATUAL";3
"1174";2020-04-20;"4202701-SC";"city";3;0;"True";"5246";"57.18643";0;"S";"ATUAL";2
"1175";2020-04-20;"4202800-SC";"city";27;2;"True";"33450";"80.71749";0,0741;"S";"ATUAL";2
"1176";2020-04-20;"4202909-SC";"city";29;0;"True";"134723";"21.52565";0;"S";"ATUAL";2
"1177";2020-04-20;"4203006-SC";"city";5;0;"True";"78595";"6.36173";0;"S";"ATUAL";2
"1178";2020-04-20;"4203204-SC";"city";58;3;"True";"82989";"69.88878";0,0517;"S";"ATUAL";3
"1179";2020-04-20;"4203709-SC";"city";1;0;"True";"12240";"8.16993";0;"S";"ATUAL";2
"1180";2020-04-20;"4203956-SC";"city";2;0;"True";"24871";"8.04149";0;"S";"ATUAL";2
"1181";2020-04-20;"4204004-SC";"city";2;0;"True";"10861";"18.41451";0;"S";"ATUAL";2
"1182";2020-04-20;"4204202-SC";"city";6;0;"True";"220367";"2.72273";0;"S";"ATUAL";2
"1183";2020-04-20;"4204251-SC";"city";1;0;"True";"16684";"5.99377";0;"S";"ATUAL";2
"1184";2020-04-20;"4204301-SC";"city";2;0;"True";"74641";"2.67949";0;"S";"ATUAL";2
"1185";2020-04-20;"4204608-SC";"city";46;4;"True";"215186";"21.37686";0,087;"S";"ATUAL";3
"1186";2020-04-20;"4205407-SC";"city";238;3;"True";"500973";"47.50755";0,0126;"S";"ATUAL";1
"1187";2020-04-20;"4205456-SC";"city";1;0;"True";"26793";"3.73232";0;"S";"ATUAL";2
"1188";2020-04-20;"4205704-SC";"city";2;0;"True";"23078";"8.66626";0;"S";"ATUAL";2
"1189";2020-04-20;"4205902-SC";"city";7;1;"True";"69639";"10.05184";0,1429;"S";"ATUAL";2
"1190";2020-04-20;"4206009-SC";"city";3;0;"True";"14471";"20.73112";0;"S";"ATUAL";2
"1191";2020-04-20;"4206207-SC";"city";11;0;"True";"11501";"95.64386";0;"S";"ATUAL";2
"1192";2020-04-20;"4206306-SC";"city";2;0;"True";"23832";"8.39208";0;"S";"ATUAL";2
"1193";2020-04-20;"4206504-SC";"city";1;0;"True";"44819";"2.2312";0;"S";"ATUAL";2
"1194";2020-04-20;"4206702-SC";"city";2;0;"True";"22606";"8.84721";0;"S";"ATUAL";2
"1195";2020-04-20;"4207007-SC";"city";7;0;"True";"56421";"12.40673";0;"S";"ATUAL";2
"1196";2020-04-20;"4207106-SC";"city";1;0;"True";"14184";"7.0502";0;"S";"ATUAL";2
"1197";2020-04-20;"4207304-SC";"city";13;0;"True";"44853";"28.98357";0;"S";"ATUAL";2
"1198";2020-04-20;"4207502-SC";"city";4;1;"True";"69425";"5.76161";0,25;"S";"ATUAL";2
"1199";2020-04-20;"4207700-SC";"city";4;0;"True";"7593";"52.6801";0;"S";"ATUAL";2
"1200";2020-04-20;"4207809-SC";"city";2;0;"True";"10419";"19.1957";0;"S";"ATUAL";2
"1201";2020-04-20;"4207858-SC";"city";1;0;"True";"1930";"51.81347";0;"S";"ATUAL";2
"1202";2020-04-20;"4208104-SC";"city";1;0;"True";"21669";"4.61489";0;"S";"ATUAL";2
"1203";2020-04-20;"4208203-SC";"city";45;2;"True";"219536";"20.49778";0,0444;"S";"ATUAL";3
"1204";2020-04-20;"4208302-SC";"city";8;0;"True";"65312";"12.2489";0;"S";"ATUAL";2
"1205";2020-04-20;"4208401-SC";"city";1;0;"True";"16872";"5.92698";0;"S";"ATUAL";2
"1206";2020-04-20;"4208500-SC";"city";1;0;"True";"25086";"3.98629";0;"S";"ATUAL";2
"1207";2020-04-20;"4208807-SC";"city";3;0;"True";"20024";"14.98202";0;"S";"ATUAL";2
"1208";2020-04-20;"4208906-SC";"city";12;0;"True";"177697";"6.75307";0;"S";"ATUAL";2
"1209";2020-04-20;"4209003-SC";"city";5;0;"True";"30118";"16.60137";0;"S";"ATUAL";2
"1210";2020-04-20;"4209102-SC";"city";94;2;"True";"590466";"15.91963";0,0213;"S";"ATUAL";3
"1211";2020-04-20;"4209300-SC";"city";13;0;"True";"157544";"8.25166";0;"S";"ATUAL";2
"1212";2020-04-20;"4209409-SC";"city";5;0;"True";"45814";"10.91369";0;"S";"ATUAL";2
"1213";2020-04-20;"4209854-SC";"city";3;0;"True";"4563";"65.74622";0;"S";"ATUAL";2
"1214";2020-04-20;"4210100-SC";"city";2;0;"True";"56292";"3.5529";0;"S";"ATUAL";2
"1215";2020-04-20;"4210605-SC";"city";1;1;"True";"16916";"5.91156";1;"S";"ATUAL";2
"1216";2020-04-20;"4210803-SC";"city";1;0;"True";"7015";"14.25517";0;"S";"ATUAL";2
"1217";2020-04-20;"4211207-SC";"city";2;0;"True";"17796";"11.23848";0;"S";"ATUAL";2
"1218";2020-04-20;"4211306-SC";"city";17;0;"True";"81475";"20.8653";0;"S";"ATUAL";2
"1219";2020-04-20;"4211504-SC";"city";1;0;"True";"14549";"6.87332";0;"S";"ATUAL";2
"1220";2020-04-20;"4211603-SC";"city";2;0;"True";"15166";"13.18739";0;"S";"ATUAL";2
